Date,Head_314740
1975-04-28 07:01:00,330.84
1975-05-01 07:01:00,330.81
1975-05-05 07:01:00,330.97
1975-05-08 07:01:00,331.28
1975-05-12 07:01:00,331.68
1975-05-15 07:01:00,331.44
1975-05-19 07:01:00,331.68
1975-05-21 07:01:00,331.72
1975-05-22 07:01:00,331.77
1975-05-26 07:01:00,331.56
1975-05-29 07:01:00,331.46
1975-06-02 07:01:00,331.34
1975-06-05 07:01:00,331.15
1975-06-09 07:01:00,330.87
1975-06-12 07:01:00,330.81
1975-06-16 07:01:00,330.97
1975-06-17 07:01:00,331.04
1975-06-19 07:01:00,331.08
1975-06-23 07:01:00,331.03
