date,B28H1804_2
2014-02-07 20:00:00,19.7
2014-02-08 20:00:00,19.71
2014-02-09 20:00:00,19.699
2014-02-10 20:00:00,19.687
2014-02-11 20:00:00,19.675
2014-02-12 20:00:00,19.669
2014-02-13 20:00:00,19.682
2014-02-14 20:00:00,19.683
2014-02-15 20:00:00,19.684
2014-02-16 20:00:00,19.667
2014-02-17 20:00:00,19.657
2014-02-18 20:00:00,19.654
2014-02-19 20:00:00,19.65
2014-02-20 20:00:00,19.65
2014-02-21 20:00:00,19.663
2014-02-22 20:00:00,19.646
2014-02-23 20:00:00,19.637
2014-02-24 20:00:00,19.635
2014-02-25 20:00:00,19.628
2014-02-26 20:00:00,19.617
2014-02-27 20:00:00,19.624
2014-02-28 20:00:00,19.624
2014-03-01 20:00:00,19.621
2014-03-02 20:00:00,19.617
2014-03-03 20:00:00,19.61
2014-03-04 20:00:00,19.595
2014-03-05 20:00:00,19.586
2014-03-06 20:00:00,19.583
2014-03-07 20:00:00,19.576999999999998
2014-03-08 20:00:00,19.573
2014-03-09 20:00:00,19.568
2014-03-10 20:00:00,19.564
2014-03-11 20:00:00,19.56
2014-03-12 20:00:00,19.561
2014-03-13 20:00:00,19.557
2014-03-14 20:00:00,19.564
2014-03-15 20:00:00,19.557
2014-03-16 20:00:00,19.566
2014-03-17 20:00:00,19.559
2014-03-18 20:00:00,19.567
2014-03-19 20:00:00,19.574
2014-03-20 20:00:00,19.569
2014-03-21 20:00:00,19.613
2014-03-22 20:00:00,19.609
2014-03-23 20:00:00,19.61
2014-03-24 20:00:00,19.606
2014-03-25 20:00:00,19.596
2014-03-26 20:00:00,19.583
2014-03-27 20:00:00,19.575
2014-03-28 20:00:00,19.563
2014-03-29 20:00:00,19.555
2014-03-30 20:00:00,19.548000000000002
2014-03-31 20:00:00,19.546
2014-04-01 20:00:00,19.544
2014-04-02 20:00:00,19.541
2014-04-03 20:00:00,19.537
2014-04-04 20:00:00,19.535
2014-04-05 20:00:00,19.528
2014-04-06 20:00:00,19.526
2014-04-07 20:00:00,19.527
2014-04-08 20:00:00,19.575
2014-04-09 20:00:00,19.583
2014-04-10 20:00:00,19.573
2014-04-11 20:00:00,19.563
2014-04-12 20:00:00,19.55
2014-04-13 20:00:00,19.54
2014-04-14 20:00:00,19.536
2014-04-15 20:00:00,19.52
2014-04-16 20:00:00,19.515
2014-04-17 20:00:00,19.515
2014-04-18 20:00:00,19.509
2014-04-19 20:00:00,19.497
2014-04-20 20:00:00,19.493
2014-04-21 20:00:00,19.506
2014-04-22 20:00:00,19.487
2014-04-23 20:00:00,19.48
2014-04-24 20:00:00,19.505
2014-04-25 20:00:00,19.493
2014-04-26 20:00:00,19.489
2014-04-27 20:00:00,19.533
2014-04-28 20:00:00,19.522
2014-04-29 20:00:00,19.529
2014-04-30 20:00:00,19.554
2014-05-01 20:00:00,19.557
2014-05-02 20:00:00,19.536
2014-05-03 20:00:00,19.517
2014-05-04 20:00:00,19.506
2014-05-05 20:00:00,19.495
2014-05-06 20:00:00,19.488
2014-05-07 20:00:00,19.559
2014-05-08 20:00:00,19.567
2014-05-09 20:00:00,19.617
2014-05-10 20:00:00,19.635
2014-05-11 20:00:00,19.631
2014-05-12 20:00:00,19.637
2014-05-13 20:00:00,19.613
2014-05-14 20:00:00,19.616
2014-05-15 20:00:00,19.601
2014-05-16 20:00:00,19.586
2014-05-17 20:00:00,19.572
2014-05-18 20:00:00,19.556
2014-05-19 20:00:00,19.537
2014-05-20 20:00:00,19.517
2014-05-21 20:00:00,19.508
2014-05-22 20:00:00,19.494
2014-05-23 20:00:00,19.527
2014-05-24 20:00:00,19.502
2014-05-25 20:00:00,19.475
2014-05-26 20:00:00,19.595
2014-05-27 20:00:00,19.668
2014-05-28 20:00:00,19.705
2014-05-29 20:00:00,19.687
2014-05-30 20:00:00,19.658
2014-05-31 20:00:00,19.632
2014-06-01 20:00:00,19.612
2014-06-02 20:00:00,19.593
2014-06-03 20:00:00,19.575
2014-06-04 20:00:00,19.592
2014-06-05 20:00:00,19.607
2014-06-06 20:00:00,19.571
2014-06-07 20:00:00,19.542
2014-06-08 20:00:00,19.531
2014-06-09 20:00:00,19.607
2014-06-10 20:00:00,19.609
2014-06-11 20:00:00,19.575
2014-06-12 20:00:00,19.551
2014-06-13 20:00:00,19.533
2014-06-14 20:00:00,19.512
2014-06-15 20:00:00,19.495
2014-06-16 20:00:00,19.496
2014-06-17 20:00:00,19.476
2014-06-18 20:00:00,19.473
2014-06-19 20:00:00,19.498
2014-06-20 20:00:00,19.473
2014-06-21 20:00:00,19.46
2014-06-22 20:00:00,19.443
2014-06-23 20:00:00,19.426
2014-06-24 20:00:00,19.417
2014-06-25 20:00:00,19.393
2014-06-26 20:00:00,19.376
2014-06-27 20:00:00,19.367
2014-06-28 20:00:00,19.362
2014-06-29 20:00:00,19.45
2014-06-30 20:00:00,19.47
2014-07-01 20:00:00,19.441
2014-07-02 20:00:00,19.413
2014-07-03 20:00:00,19.374
2014-07-04 20:00:00,19.34
2014-07-05 20:00:00,19.333
2014-07-06 20:00:00,19.318
2014-07-07 20:00:00,19.429
2014-07-08 20:00:00,19.511
2014-07-09 20:00:00,19.536
2014-07-10 20:00:00,19.503
2014-07-11 20:00:00,19.478
2014-07-12 20:00:00,19.445
2014-07-13 20:00:00,19.438
2014-07-14 20:00:00,19.423
2014-07-15 20:00:00,19.413
2014-07-16 20:00:00,19.377
2014-07-17 20:00:00,19.334
2014-07-18 20:00:00,19.301
2014-07-19 20:00:00,19.263
2014-07-20 20:00:00,19.334
2014-07-21 20:00:00,19.46
2014-07-22 20:00:00,19.433
2014-07-23 20:00:00,19.396
2014-07-24 20:00:00,19.358
2014-07-25 20:00:00,19.392
2014-07-26 20:00:00,19.436
2014-07-27 20:00:00,19.409
2014-07-28 20:00:00,19.416
2014-07-29 20:00:00,19.417
2014-07-30 20:00:00,19.387
2014-07-31 20:00:00,19.353
2014-08-01 20:00:00,19.314
2014-08-02 20:00:00,19.288
2014-08-03 20:00:00,19.253
2014-08-04 20:00:00,19.225
2014-08-05 20:00:00,19.197
2014-08-06 20:00:00,19.181
2014-08-07 20:00:00,19.197
2014-08-08 20:00:00,19.191
2014-08-09 20:00:00,19.296
2014-08-10 20:00:00,19.429
2014-08-11 20:00:00,19.434
2014-08-12 20:00:00,19.414
2014-08-13 20:00:00,19.389
2014-08-14 20:00:00,19.403
2014-08-15 20:00:00,19.456
2014-08-16 20:00:00,19.47
2014-08-17 20:00:00,19.494
2014-08-18 20:00:00,19.522
2014-08-19 20:00:00,19.534
2014-08-20 20:00:00,19.527
2014-08-21 20:00:00,19.509
2014-08-22 20:00:00,19.511
2014-08-23 20:00:00,19.529
2014-08-24 20:00:00,19.532
2014-08-25 20:00:00,19.524
2014-08-26 20:00:00,19.523
2014-08-27 20:00:00,19.497
2014-08-28 20:00:00,19.485
2014-08-29 20:00:00,19.49
2014-08-30 20:00:00,19.508
2014-08-31 20:00:00,19.507
2014-09-01 20:00:00,19.488
